"Security Name","Symbol Name","Trade Date","Quantity"
"VOLTAS LTD","VOLTAS","07-Nov-2024","174000"
"BHARAT ELECTRONICS LTD","BEL","07-Nov-2024","1"
"IPCA LABORATORIES LIMITED","IPCALAB","07-Nov-2024","12"
"HERO MOTOCORP LTD","HEROMOTOCO","07-Nov-2024","17400"
"UNITED BREWERIES LIMITED","UBL","07-Nov-2024","29200"
"DR. REDDY'S LABORATORIES","DRREDDY","07-Nov-2024","2500"
"HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED","HUDCO","07-Nov-2024","1"
"BF UTILITIES LIMITED","BFUTILITIE","07-Nov-2024","87"
"GENESYS INTL CORPN LTD","GENESYS","07-Nov-2024","1500"
"AVALON TECHNOLOGIES LTD","AVALON","07-Nov-2024","11247"
"UNION BANK OF INDIA","UNIONBANK","07-Nov-2024","1"
"GMR INFRASTRUCTURE LTD.","GMRINFRA","07-Nov-2024","231"
"ALKEM LABORATORIES LTD.","ALKEM","07-Nov-2024","100"
