Sr. No,Symbol,Series,Security Name,From,To
1,ARROWGREEN,EQ,ARROW GREENTECH LIMITED,10,5
2,KAPSTON,EQ,KAPSTON SERVICES LIMITED,10,5
3,SPECTSTM,ST,SPECTRUM TALENT MANAGEMENT LIMITED,10,5
4,ASHALOG,ST,ASHAPURA LOGISTICS LIMITED,20,5
5,NAMOEWASTE,SM,NAMO EWASTE MANAGEMENT LIMITED,20,10
6,AKSHAR,BE,AKSHAR SPINTEX LIMITED,5,2
7,CORALFINAC,BE,CORAL INDIA FINANCE & HOUSING LIMITED,5,2
8,ESCONET,ST,ESCONET TECHNOLOGIES LIMITED,5,2
9,FRESHARA,SM,FRESHARA AGRO EXPORTS LIMITED,5,20
10,MODTHREAD,BE,MODERN THREADS (INDIA) LIMITED,5,2
11,RAJTV,BE,RAJ TELEVISION NETWORK LIMITED,5,2
12,SRPL,BE,SHREE RAM PROTEINS LIMITED,5,2
13,TVSELECT,BE,TVS ELECTRONICS LIMITED,5,2
14,VILAS,ST,VILAS TRANSCORE LIMITED,5,2
